Date,Open,High,Low,Close,Adj Close,Volume
2015-10-27,24.410074,24.758152,24.347599,24.419001,23.480034,5758739
2015-10-28,24.454700,24.539488,24.093233,24.521639,23.578724,5582619
2015-10-29,24.124472,24.874178,22.517960,22.834799,21.956749,18457716
2015-10-30,22.602747,22.741085,22.254669,22.732161,21.858057,8558701
2015-11-02,22.473333,23.312290,22.473333,23.062387,22.175585,8117457
2015-11-03,23.205191,23.379229,22.888350,23.062387,22.175585,4910173
2015-11-04,23.187340,23.245352,22.687534,22.723236,21.849474,6580576
2015-11-05,22.852650,22.982063,22.455482,22.535809,21.669256,5623532
2015-11-06,22.616135,23.066851,22.500109,22.897276,22.016823,7346606
2015-11-09,22.924049,23.124865,22.562584,22.611671,21.742199,4562183
2015-11-10,22.651834,22.727697,22.134180,22.232357,21.377470,6863718
2015-11-11,22.303757,22.384083,21.906591,22.098480,21.248743,5688673
2015-11-12,22.044930,22.214506,21.536201,21.634377,20.802485,5585311
2015-11-13,21.420176,21.585289,21.054247,21.263987,20.446339,7926151
2015-11-16,20.987309,21.281836,20.987309,21.121185,20.309027,4429900
2015-11-17,21.335386,21.540663,21.143497,21.478188,20.652302,5557027
2015-11-18,21.420176,21.817341,21.397861,21.759329,20.922632,6146123
2015-11-19,21.960142,22.263594,21.866428,22.027081,21.180086,5210122
2015-11-20,22.080629,22.098480,21.696852,21.781639,20.944084,6543210
2015-11-23,21.786102,21.933367,21.469263,21.554050,20.725248,4376428
2015-11-24,21.375549,21.415712,20.987309,21.152424,20.339066,7294834
2015-11-25,21.205973,21.540663,20.857895,21.438025,20.613682,6248047
2015-11-26,21.415712,21.772715,21.304150,21.625452,20.793905,4642037
2015-11-27,21.536201,21.661152,21.339849,21.415712,20.592228,4021360
2015-11-30,21.420176,21.853041,21.295223,21.692390,20.858269,5814651
2015-12-01,21.812878,22.018154,21.741478,21.830729,20.991287,5613155
2015-12-02,21.897667,21.973530,21.496038,21.540663,20.712376,4849583
2015-12-03,21.504963,21.995842,20.915909,20.915909,20.111643,11538091
2015-12-04,20.884670,21.085485,20.536592,20.706169,19.909967,7927176
2015-12-07,20.929296,20.964996,20.558905,20.670469,19.875643,4711393
2015-12-08,20.625843,20.666006,19.943075,20.076950,19.304947,10176069
2015-12-09,20.121576,20.273302,19.706560,19.929688,19.163345,7002139
2015-12-10,19.818125,20.099264,19.635160,19.835976,19.073236,5682521
2015-12-11,19.684248,19.889524,18.867603,18.956856,18.227921,12139292
2015-12-14,19.077343,19.287083,18.461514,18.537376,17.824572,10267378
2015-12-15,18.742653,19.229071,18.742653,19.099655,18.365231,8967629
2015-12-16,19.144281,19.300470,18.912230,19.126431,18.390974,6638281
2015-12-17,19.545910,19.804737,19.407572,19.523598,18.772871,10847949
2015-12-18,19.371872,19.639624,19.188908,19.412033,18.665594,24967588
2015-12-21,19.233532,19.675323,19.148745,19.211220,18.472504,7043397
2015-12-22,19.389721,19.523598,19.050568,19.237995,18.498249,5513879
2015-12-23,19.412033,19.965387,19.412033,19.916300,19.150471,7137157
2015-12-25,19.916300,19.916300,19.916300,19.916300,19.150471,0
2015-12-28,19.902912,20.072489,19.728874,19.795813,19.034616,2786342
